attack_number,fault_id,fault_name,category,pattern,start_time,end_time,attack_points,effect,root_cause,source
0,swat_level_sensor_drift,液位传感器异常,传感器故障,gradual_drift,2015-12-28 11:22:00,2015-12-28 11:28:22,LIT-101,液位读数被持续调高或调低,液位传感器或液位反馈被篡改,List_of_attacks_Final.xlsx
1,swat_quality_sensor_fault,水质/压力传感器异常,传感器故障,gradual_drift,2015-12-28 12:00:55,2015-12-28 12:04:10,AIT-202,水质或压力读数被设置到异常值,分析仪表或压力测点反馈异常,List_of_attacks_Final.xlsx
2,swat_level_sensor_drift,液位传感器异常,传感器故障,gradual_drift,2015-12-28 12:08:25,2015-12-28 12:15:33,LIT-301,液位读数被持续调高或调低,液位传感器或液位反馈被篡改,List_of_attacks_Final.xlsx
3,swat_quality_sensor_fault,水质/压力传感器异常,传感器故障,gradual_drift,2015-12-28 13:10:10,2015-12-28 13:26:13,DPIT-301,水质或压力读数被设置到异常值,分析仪表或压力测点反馈异常,List_of_attacks_Final.xlsx
4,swat_pump_trip,水泵/流量异常,设备故障,step_down,2015-12-28 14:16:20,2015-12-28 14:19:00,FIT-401,流量或泵相关信号快速下降,泵停或流量通道异常导致出水能力下降,List_of_attacks_Final.xlsx
5,swat_pump_trip,水泵/流量异常,设备故障,step_down,2015-12-28 14:19:00,2015-12-28 14:28:20,FIT-401,流量或泵相关信号快速下降,泵停或流量通道异常导致出水能力下降,List_of_attacks_Final.xlsx
6,swat_level_sensor_drift,液位传感器异常,传感器故障,gradual_drift,2015-12-29 11:57:25,2015-12-29 12:02:00,LIT-301,液位读数被持续调高或调低,液位传感器或液位反馈被篡改,List_of_attacks_Final.xlsx
7,swat_quality_sensor_fault,水质/压力传感器异常,传感器故障,gradual_drift,2015-12-29 18:10:43,2015-12-29 18:15:01,AIT-504,水质或压力读数被设置到异常值,分析仪表或压力测点反馈异常,List_of_attacks_Final.xlsx
8,swat_quality_sensor_fault,水质/压力传感器异常,传感器故障,gradual_drift,2015-12-29 18:15:43,2015-12-29 18:22:17,AIT-504,水质或压力读数被设置到异常值,分析仪表或压力测点反馈异常,List_of_attacks_Final.xlsx
9,swat_valve_stuck,阀门/执行器卡滞,执行器故障,stuck_value,2015-12-29 18:30:00,2015-12-29 18:42:00,LIT-101|MV-101,阀门或执行器保持异常状态,阀门命令或执行器反馈异常导致液位联动变化,List_of_attacks_Final.xlsx
10,swat_pump_trip,水泵/流量异常,设备故障,step_down,2015-12-29 22:55:18,2015-12-29 23:03:00,AIT-502|P-501,流量或泵相关信号快速下降,泵停或流量通道异常导致出水能力下降,List_of_attacks_Final.xlsx
11,swat_valve_stuck,阀门/执行器卡滞,执行器故障,stuck_value,2015-12-30 01:42:34,2015-12-30 01:54:10,DPIT-301|MV-302|P-602,阀门或执行器保持异常状态,阀门命令或执行器反馈异常导致液位联动变化,List_of_attacks_Final.xlsx
12,swat_pump_trip,水泵/流量异常,设备故障,step_down,2015-12-30 10:01:50,2015-12-30 10:12:01,LIT-401|P-402,流量或泵相关信号快速下降,泵停或流量通道异常导致出水能力下降,List_of_attacks_Final.xlsx
13,swat_pump_trip,水泵/流量异常,设备故障,step_down,2015-12-30 17:04:56,2015-12-30 17:29:00,LIT-301|P-101,流量或泵相关信号快速下降,泵停或流量通道异常导致出水能力下降,List_of_attacks_Final.xlsx
14,swat_pump_trip,水泵/流量异常,设备故障,step_down,2015-12-31 01:17:08,2015-12-31 01:45:18,LIT-401|P-302,流量或泵相关信号快速下降,泵停或流量通道异常导致出水能力下降,List_of_attacks_Final.xlsx
15,swat_valve_stuck,阀门/执行器卡滞,执行器故障,stuck_value,2015-12-31 15:47:40,2015-12-31 16:07:10,LIT-101|P-101|MV-101,阀门或执行器保持异常状态,阀门命令或执行器反馈异常导致液位联动变化,List_of_attacks_Final.xlsx
16,swat_level_sensor_drift,液位传感器异常,传感器故障,gradual_drift,2015-12-31 22:05:34,2015-12-31 22:11:40,LIT-401,液位读数被持续调高或调低,液位传感器或液位反馈被篡改,List_of_attacks_Final.xlsx
17,swat_level_sensor_drift,液位传感器异常,传感器故障,gradual_drift,2016-01-01 10:36:00,2016-01-01 10:46:00,LIT-301,液位读数被持续调高或调低,液位传感器或液位反馈被篡改,List_of_attacks_Final.xlsx
18,swat_level_sensor_drift,液位传感器异常,传感器故障,gradual_drift,2016-01-01 14:21:12,2016-01-01 14:28:35,LIT-101,液位读数被持续调高或调低,液位传感器或液位反馈被篡改,List_of_attacks_Final.xlsx
19,swat_level_sensor_drift,液位传感器异常,传感器故障,gradual_drift,2016-01-01 22:16:01,2016-01-01 22:25:00,LIT-101,液位读数被持续调高或调低,液位传感器或液位反馈被篡改,List_of_attacks_Final.xlsx
20,swat_pump_trip,水泵/流量异常,设备故障,step_down,2016-01-02 11:18:36,2016-01-02 11:24:50,FIT-502|P-501,流量或泵相关信号快速下降,泵停或流量通道异常导致出水能力下降,List_of_attacks_Final.xlsx
21,swat_quality_sensor_fault,水质/压力传感器异常,传感器故障,gradual_drift,2016-01-02 11:31:38,2016-01-02 11:36:18,AIT-402|AIT-502,水质或压力读数被设置到异常值,分析仪表或压力测点反馈异常,List_of_attacks_Final.xlsx
22,swat_pump_trip,水泵/流量异常,设备故障,step_down,2016-01-02 11:43:48,2016-01-02 11:50:28,FIT-401|AIT-502,流量或泵相关信号快速下降,泵停或流量通道异常导致出水能力下降,List_of_attacks_Final.xlsx
23,swat_pump_trip,水泵/流量异常,设备故障,step_down,2016-01-02 11:51:42,2016-01-02 11:56:38,FIT-401,流量或泵相关信号快速下降,泵停或流量通道异常导致出水能力下降,List_of_attacks_Final.xlsx
24,swat_level_sensor_drift,液位传感器异常,传感器故障,gradual_drift,2016-01-02 13:13:02,2016-01-02 13:40:56,LIT-301,液位读数被持续调高或调低,液位传感器或液位反馈被篡改,List_of_attacks_Final.xlsx
